desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
446498202200373,http://www.animal.go.kr/files/shelter/2022/08/202208122108266_s.jpg,8/1/2022,장성읍 대창동,[개] 믹스견,검정,2018(년생),7(Kg),전남-장성-2022-00281,8/12/2022,8/22/2022,http://www.animal.go.kr/files/shelter/2022/08/202208122108266.png,보호중,M,N,일주일 가량 동네를 떠돌던 아이가 배가고팠는지 쓰레기를 뒤진다고 어르신들이 신고해 보호소 입소.,장성군동물보호센터,010-6271-8889,전라남도 장성군 삼서면 대중길 29-27,전라남도 장성군,동물보호담당자,061-390-8425,
442425202200314,http://www.animal.go.kr/files/shelter/2022/08/202208111308711_s.jpg,8/1/2022,홍천읍 너브내길 59,[개] 믹스견,갈색,2019(년생),3.20(Kg),강원-홍천-2022-00211,8/11/2022,8/22/2022,http://www.animal.go.kr/files/shelter/2022/08/202208111308711.jpg,보호중,F,U,너브내길에서 구조,홍천군유기동물보호소,033-434-9435,"강원도 홍천군 화촌면 둔덕이길 68 (화촌면, 홍천군유기동물보호센터)",강원도 홍천군,홍천군,033-430-2741,
444454202200291,http://www.animal.go.kr/files/shelter/2022/07/20220809110878_s.jpg,8/1/2022,논산소방서,[개] 믹스견,황백색,2021(년생),8.3(Kg),충남-논산-2022-00260,8/9/2022,8/19/2022,http://www.animal.go.kr/files/shelter/2022/07/20220809110878.jpg,보호중,F,N,"파보음성(08.01), 코로나 음성(08.01), 홍역 음성(08.01), 종합백신(08.01), 광견병 백신(08.01)",논산시 동물보호센터,041-746-8475,충청남도 논산시 계백로665번길 100 (등화동) 논산시 동물보호센터 더함,충청남도 논산시,논산시,041-746-8471,
441408202200475,http://www.animal.go.kr/files/shelter/2022/07/202208081508797_s.jpg,8/1/2022,화성시 동탄대로 6길 15,[개] 믹스견,갈색/하양,2019(년생),7.6(Kg),경기-안성-2022-00475,8/9/2022,8/19/2022,http://www.animal.go.kr/files/shelter/2022/07/202208081508797.jpg,종료(자연사),F,N,교통사고로 동탄 동물병원 갔다가 안성으로 옴,이성준동물병원,031-673-5858,경기도 안성시 중앙로 431-1 (봉남동),경기도 안성시,안성시,031-678-5493,
431373202200973,http://www.animal.go.kr/files/shelter/2022/07/202208091308928_s.jpg,8/1/2022,남창고등학교 뒷문 인근,[개] 믹스견,연갈색/연회색,2022(년생),4.2(Kg),울산-울주-2022-00571,8/9/2022,8/19/2022,http://www.animal.go.kr/files/shelter/2022/07/202208091308928.jpg,보호중,M,N,순함/3~4개월 추정,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144,울산광역시 울주군,김은지,052-204-1635,
448542202200965,http://www.animal.go.kr/files/shelter/2022/07/202208071108465_s.jpg,8/1/2022,남포로 68번길 71-1,[개] 믹스견,갈검색,2018(년생),7(Kg),경남-고성-2022-00281,8/8/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208071108465.jpg,보호중,F,N,2-277/심장사상충 양성,고성군유기동물보호소,055-670-4316,경상남도 고성군 고성읍 남해안대로 2829-60 고성군농업기술센터 동물보호센터,경상남도 고성군,김우영,055-670-4316,
446497202200130,http://www.animal.go.kr/files/shelter/2022/07/202208051108733_s.jpg,8/1/2022,법성초등학교 부근,[개] 믹스견,흰색,2020(년생),9(Kg),전남-영광-2022-00097,8/5/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208051108733.jpg,보호중,M,N,"들개무리가 어린이와 노인들을 쫓아다니며 위협한다는 파출소 신고로 포획, 야생화 되어 있음",불갑동물임시보호소,010-9188-5525,전라남도 영광군 불갑면 함영로 2758,전라남도 영광군,최영석,061-350-4616,
448545202200081,http://www.animal.go.kr/files/shelter/2022/07/202208041708954_s.jpg,8/1/2022,경남 산청군 신안면 원지로 178 주변,[개] 믹스견,갈색견,2014(년생),5.9(Kg),경남-산청-2022-00083,8/4/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208041708954.jpg,보호중,M,N,구조시 목줄없음,산청동물보호센터,010-2050-8577,경상남도 산청군 산청읍 친환경로 2783-25 (산청읍),경상남도 산청군,백종수,055-970-7844,
448537202200942,http://www.animal.go.kr/files/shelter/2022/07/202208041108538_s.jpg,8/1/2022,옥포대첩로 2길,[개] 믹스견,"갈색,코부분흰색",2021(년생),6(Kg),경남-거제-2022-00790,8/4/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208041108538.jpg,종료(자연사),M,N,순함,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366,
448537202200941,http://www.animal.go.kr/files/shelter/2022/07/20220804110895_s.jpg,8/1/2022,아주동 128-1화이트빌근처,[고양이] 한국 고양이,흰색,2021(년생),2(Kg),경남-거제-2022-00789,8/4/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/20220804110895.jpg,보호중,Q,N,눈상태안좋음,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366,
