busiId,statId,chgerId,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt
ME,ME174011,1,3,2022-08-20 17:15:28,2022-08-20 16:30:18,2022-08-20 17:13:37,2022-08-20 17:15:27
ME,ME174013,1,3,2022-08-20 17:13:52,2022-08-20 11:34:36,2022-08-20 12:09:31,2022-08-20 17:13:51
ME,ME174020,2,2,2022-08-20 17:15:56,2022-08-20 16:35:49,2022-08-20 17:15:41,
ME,ME178009,2,3,2022-08-20 17:14:02,2022-08-20 16:47:17,2022-08-20 17:00:26,2022-08-20 17:14:01
ME,ME183008,1,3,2022-08-20 17:14:00,2022-08-20 16:03:28,2022-08-20 16:40:49,2022-08-20 17:13:59
ME,ME18A002,3,3,2022-08-20 17:14:25,2022-08-19 11:20:09,2022-08-19 11:36:46,
ME,ME18B289,12,3,2022-08-20 17:14:10,2022-08-20 14:06:13,2022-08-20 14:44:10,2022-08-20 17:14:10
ME,ME19A166,1,3,2022-08-20 17:17:57,2022-08-20 16:39:03,2022-08-20 17:09:22,2022-08-20 17:17:56
ME,ME19A171,1,2,2022-08-20 17:16:32,2022-08-20 16:37:32,2022-08-20 17:16:32,
ME,ME19A246,21,2,2022-08-20 17:17:05,2022-08-20 16:45:00,2022-08-20 17:17:05,
ME,ME19A274,22,2,2022-08-20 17:17:13,2022-08-20 16:44:35,2022-08-20 17:17:13,
ME,ME19A801,2,2,2022-08-20 17:16:20,2022-08-20 16:37:23,2022-08-20 17:16:20,
ME,ME19X403,44,3,2022-08-20 17:15:51,2022-08-20 15:58:03,2022-08-20 16:32:33,2022-08-20 17:15:51
ME,ME19X403,45,2,2022-08-20 17:17:38,2022-08-20 17:07:37,2022-08-20 17:17:36,
ME,ME20A410,1,2,2022-08-20 17:17:02,2022-08-20 16:52:33,2022-08-20 17:16:49,
EC,EC000217,3,2,2022-08-20 17:15:28,,,
EV,EV000008,6,3,2022-08-20 17:16:13,2022-08-19 13:30:13,2022-08-19 13:54:52,2022-08-20 17:15:09
EV,EV000936,1,2,2022-08-20 17:16:12,2022-08-20 15:19:36,2022-08-20 16:57:34,2022-08-20 15:19:36
EV,EV001576,2,3,2022-08-20 17:16:11,2022-08-20 09:23:05,2022-08-20 12:00:46,2022-08-20 17:15:51
EV,EV001873,1,2,2022-08-20 17:15:11,2022-08-20 16:47:39,2022-08-20 17:14:47,2022-08-20 16:47:39
EV,EV001887,3,3,2022-08-20 17:16:12,2022-08-15 19:24:34,2022-08-15 21:14:20,2022-08-20 17:15:02
EV,EV003437,2,3,2022-08-20 17:16:11,2022-08-20 12:47:37,2022-08-20 12:48:43,2022-08-20 17:15:24
EV,EV003441,1,2,2022-08-20 17:14:08,2022-08-20 15:43:17,2022-08-20 17:11:02,2022-08-20 15:43:17
EV,EV003587,5,2,2022-08-20 17:18:09,2022-08-19 20:23:23,2022-08-20 00:32:35,2022-08-19 20:23:23
EV,EV005111,1,2,2022-08-20 17:14:11,2022-08-20 17:12:56,2022-08-20 17:13:59,2022-08-20 17:12:56
EV,EV005111,4,3,2022-08-20 17:17:11,2022-08-19 17:58:19,2022-08-19 19:52:15,2022-08-20 17:16:16
EV,EV005112,1,3,2022-08-20 17:14:14,2022-08-20 12:49:05,2022-08-20 16:47:51,2022-08-20 17:13:14
GS,GS000039,1,2,2022-08-20 17:16:02,2022-08-20 16:35:42,2022-08-20 17:15:11,2022-08-20 16:35:42
GS,GS000043,2,3,2022-08-20 17:15:02,2022-08-20 09:14:58,2022-08-20 09:59:23,2022-08-20 09:14:58
GS,GS000044,1,2,2022-08-20 17:18:02,2022-08-20 15:10:16,2022-08-20 17:16:55,2022-08-20 15:10:16
HD,HD000013,6,2,2022-08-20 17:15:00,,,
HD,HD000019,3,3,2022-08-20 17:15:00,,,
HE,HE001015,2,3,2022-08-20 17:15:27,2022-08-20 16:10:35,2022-08-20 17:11:13,2022-08-20 16:44:16
