busiId,statId,chgerId,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt
ME,ME174011,1,3,8/20/2022 17:15,8/20/2022 16:30,8/20/2022 17:13,8/20/2022 17:15
ME,ME174013,1,3,8/20/2022 17:13,8/20/2022 11:34,8/20/2022 12:09,8/20/2022 17:13
ME,ME174020,2,2,8/20/2022 17:15,8/20/2022 16:35,8/20/2022 17:15,
ME,ME178009,2,3,8/20/2022 17:14,8/20/2022 16:47,8/20/2022 17:00,8/20/2022 17:14
ME,ME183008,1,3,8/20/2022 17:14,8/20/2022 16:03,8/20/2022 16:40,8/20/2022 17:13
ME,ME18A002,3,3,8/20/2022 17:14,8/19/2022 11:20,8/19/2022 11:36,
ME,ME18B289,12,3,8/20/2022 17:14,8/20/2022 14:06,8/20/2022 14:44,8/20/2022 17:14
ME,ME19A166,1,3,8/20/2022 17:17,8/20/2022 16:39,8/20/2022 17:09,8/20/2022 17:17
ME,ME19A171,1,2,8/20/2022 17:16,8/20/2022 16:37,8/20/2022 17:16,
ME,ME19A246,21,2,8/20/2022 17:17,8/20/2022 16:45,8/20/2022 17:17,
ME,ME19A274,22,2,8/20/2022 17:17,8/20/2022 16:44,8/20/2022 17:17,
ME,ME19A801,2,2,8/20/2022 17:16,8/20/2022 16:37,8/20/2022 17:16,
ME,ME19X403,44,3,8/20/2022 17:15,8/20/2022 15:58,8/20/2022 16:32,8/20/2022 17:15
ME,ME19X403,45,2,8/20/2022 17:17,8/20/2022 17:07,8/20/2022 17:17,
ME,ME20A410,1,2,8/20/2022 17:17,8/20/2022 16:52,8/20/2022 17:16,
EC,EC000217,3,2,8/20/2022 17:15,,,
EV,EV000008,6,3,8/20/2022 17:16,8/19/2022 13:30,8/19/2022 13:54,8/20/2022 17:15
EV,EV000936,1,2,8/20/2022 17:16,8/20/2022 15:19,8/20/2022 16:57,8/20/2022 15:19
EV,EV001576,2,3,8/20/2022 17:16,8/20/2022 9:23,8/20/2022 12:00,8/20/2022 17:15
EV,EV001873,1,2,8/20/2022 17:15,8/20/2022 16:47,8/20/2022 17:14,8/20/2022 16:47
EV,EV001887,3,3,8/20/2022 17:16,8/15/2022 19:24,8/15/2022 21:14,8/20/2022 17:15
EV,EV003437,2,3,8/20/2022 17:16,8/20/2022 12:47,8/20/2022 12:48,8/20/2022 17:15
EV,EV003441,1,2,8/20/2022 17:14,8/20/2022 15:43,8/20/2022 17:11,8/20/2022 15:43
EV,EV003587,5,2,8/20/2022 17:18,8/19/2022 20:23,8/20/2022 0:32,8/19/2022 20:23
EV,EV005111,1,2,8/20/2022 17:14,8/20/2022 17:12,8/20/2022 17:13,8/20/2022 17:12
EV,EV005111,4,3,8/20/2022 17:17,8/19/2022 17:58,8/19/2022 19:52,8/20/2022 17:16
EV,EV005112,1,3,8/20/2022 17:14,8/20/2022 12:49,8/20/2022 16:47,8/20/2022 17:13
GS,GS000039,1,2,8/20/2022 17:16,8/20/2022 16:35,8/20/2022 17:15,8/20/2022 16:35
GS,GS000043,2,3,8/20/2022 17:15,8/20/2022 9:14,8/20/2022 9:59,8/20/2022 9:14
GS,GS000044,1,2,8/20/2022 17:18,8/20/2022 15:10,8/20/2022 17:16,8/20/2022 15:10
HD,HD000013,6,2,8/20/2022 17:15,,,
HD,HD000019,3,3,8/20/2022 17:15,,,
HE,HE001015,2,3,8/20/2022 17:15,8/20/2022 16:10,8/20/2022 17:11,8/20/2022 16:44
HE,HE001047,1,3,8/20/2022 17:15,8/20/2022 12:56,8/20/2022 15:37,8/20/2022 17:13
HE,HE001047,16,2,8/20/2022 17:15,8/20/2022 14:49,8/20/2022 14:50,8/20/2022 16:13
HE,HE001047,24,2,8/20/2022 17:16,8/20/2022 13:18,8/20/2022 14:38,8/20/2022 17:08
HE,HE001047,25,3,8/20/2022 17:15,8/20/2022 16:09,8/20/2022 17:01,8/20/2022 16:13
HE,HE192682,5,2,8/20/2022 17:17,8/19/2022 7:57,8/19/2022 13:01,8/20/2022 17:06
HE,HE202627,1,2,8/20/2022 17:15,8/19/2022 16:34,8/19/2022 17:04,8/20/2022 16:43
HM,HM000024,1,2,8/20/2022 17:18,,,
HS,HS001457,6,3,8/20/2022 17:16,8/19/2022 23:26,8/20/2022 10:27,8/20/2022 17:13
HS,HS001498,4,3,8/20/2022 17:16,8/12/2022 23:11,8/13/2022 14:40,8/20/2022 17:13
KE,KE000040,1,3,8/20/2022 17:15,8/20/2022 17:13,8/18/2022 20:23,8/20/2022 17:13
KL,KL001125,4,3,8/20/2022 17:18,8/20/2022 14:04,8/20/2022 17:15,8/20/2022 14:04
KL,KL001196,6,2,8/20/2022 17:14,8/20/2022 16:12,8/20/2022 17:07,8/20/2022 16:12
KL,KL001242,1,2,8/20/2022 17:14,8/10/2022 22:44,8/11/2022 2:25,8/10/2022 22:44
KL,KL001242,2,2,8/20/2022 17:14,8/19/2022 19:40,8/19/2022 22:36,8/19/2022 19:40
KL,KL001242,3,2,8/20/2022 17:14,8/17/2022 2:03,8/17/2022 6:04,8/17/2022 2:03
KL,KL001242,4,2,8/20/2022 17:14,8/18/2022 15:17,8/18/2022 22:57,8/18/2022 15:17
KL,KL001584,5,3,8/20/2022 17:14,8/20/2022 16:37,8/20/2022 16:43,8/20/2022 17:13
KL,KL001785,1,3,8/20/2022 17:18,8/2/2020 22:12,8/2/2020 23:03,8/2/2020 22:12
KL,KL001951,2,3,8/20/2022 17:18,8/19/2022 23:25,8/20/2022 5:31,8/20/2022 17:15
KP,KP000010,2,3,8/20/2022 17:16,8/20/2022 13:27,8/20/2022 14:50,8/20/2022 17:15
KP,KP000018,1,3,8/20/2022 17:15,8/20/2022 0:58,8/20/2022 9:05,8/20/2022 0:58
KP,KP000120,8,3,8/20/2022 17:17,8/20/2022 17:13,8/20/2022 17:14,8/20/2022 17:16
KP,KP000120,20,3,8/20/2022 17:15,8/20/2022 14:57,8/20/2022 17:10,8/20/2022 14:57
KP,KP000210,1,3,8/20/2022 17:17,8/20/2022 13:35,8/20/2022 14:16,8/20/2022 17:16
KP,KP000216,3,2,8/20/2022 17:15,8/20/2022 15:01,8/20/2022 17:14,8/20/2022 15:01
KP,KP000221,1,3,8/20/2022 17:15,8/20/2022 16:04,8/20/2022 16:55,8/20/2022 17:14
KP,KP000290,1,3,8/20/2022 17:17,8/20/2022 16:06,8/20/2022 17:00,8/20/2022 17:16
KP,KP000689,3,2,8/20/2022 17:14,8/20/2022 14:42,8/20/2022 17:13,8/20/2022 14:42
KP,KP000834,1,2,8/20/2022 17:15,8/20/2022 15:45,8/20/2022 17:13,8/20/2022 15:45
KP,KP000926,7,2,8/20/2022 17:14,8/20/2022 14:50,8/20/2022 15:55,8/20/2022 14:50
KP,KP000948,2,2,8/20/2022 17:16,8/20/2022 16:13,8/20/2022 16:55,8/20/2022 16:13
KP,KP000978,2,3,8/20/2022 17:15,8/18/2022 16:53,8/18/2022 19:55,8/20/2022 17:14
KP,KP001287,1,2,8/20/2022 17:15,8/20/2022 14:23,8/20/2022 17:14,8/20/2022 14:23
KP,KP001859,4,2,8/20/2022 17:15,8/20/2022 16:16,8/20/2022 17:14,8/20/2022 16:16
KP,KP002541,1,2,8/20/2022 17:17,8/20/2022 16:51,8/20/2022 17:15,8/20/2022 16:51
KP,KP003151,2,2,8/20/2022 17:16,8/20/2022 14:28,8/20/2022 17:13,8/20/2022 14:28
KP,KP003275,4,9,8/20/2022 17:18,8/19/2022 18:52,8/19/2022 21:04,8/19/2022 18:52
KP,KP003608,8,2,8/20/2022 17:14,8/20/2022 13:41,8/20/2022 15:51,8/20/2022 13:41
KP,KP003850,2,2,8/20/2022 17:17,8/20/2022 16:44,8/20/2022 17:15,8/20/2022 16:44
KP,KP003993,3,3,8/20/2022 17:18,8/20/2022 14:12,8/20/2022 15:12,8/20/2022 17:17
